time,result,human player,depth,user
2023-03-25 14:37:06.683946,loss,1,4,ian
2023-03-25 14:37:52.939431,loss,1,4,ian
2023-03-25 14:39:15.620471,loss,1,4,ian
2023-03-25 14:40:02.731315,loss,1,4,ian
2023-03-25 14:43:57.307985,loss,1,4,Logan
2023-03-25 14:44:30.502142,loss,1,4,Logan
2023-03-25 14:45:09.391554,loss,2,4,Logan
2023-03-25 14:46:09.770260,loss,1,4,Logan
2023-03-25 14:46:37.384752,loss,2,4,Logan
2023-03-25 14:47:04.460558,loss,1,4,Logan
2023-03-25 14:48:18.489937,loss,1,4,Logan
2023-03-25 14:52:30.028331,loss,1,4,kelly
2023-03-25 14:54:54.451999,loss,1,4,kelly
2023-03-25 16:16:25.415207,loss,1,4,Logan
2023-03-25 16:17:20.116923,loss,1,4,Logan
2023-03-25 16:18:41.366281,loss,1,4,Logan
2023-03-25 16:19:12.976388,loss,1,4,Logan
2023-03-25 16:19:56.274225,loss,1,4,Logan
2023-03-25 16:20:38.048992,loss,1,4,Logan
2023-03-25 16:21:14.747988,loss,2,4,Logan
2023-03-25 16:22:03.775007,loss,1,4,Logan
2023-03-25 16:23:16.283210,loss,1,4,Logan
2023-03-25 16:24:09.317700,loss,1,4,Logan
2023-03-25 16:24:43.531162,loss,1,4,Logan
2023-03-25 16:25:43.484757,loss,1,4,Logan
2023-03-25 16:26:13.776492,loss,1,4,Logan
2023-03-25 16:26:40.385972,loss,1,4,Logan
2023-03-25 16:27:20.479731,loss,1,4,Logan
2023-03-25 16:28:02.662097,loss,1,4,Logan
2023-03-25 16:28:42.404913,loss,1,4,Logan
2023-03-25 16:29:49.226684,loss,1,4,Logan
2023-03-25 16:30:22.875163,loss,1,4,Logan
2023-03-25 18:19:56.729960,loss,2,4,geo
2023-03-25 18:20:59.577842,loss,1,4,geo
2023-03-25 18:21:39.706283,loss,1,4,geo
2023-03-25 18:24:03.121443,loss,1,4,geo
2023-03-25 19:03:15.228275,loss,1,4,Logan
2023-03-25 20:36:04.538581,loss,1,4,Wyatt Christopher Horsefield
2023-03-25 20:44:01.654578,loss,1,4,Jonah
2023-03-25 20:49:19.758948,loss,1,4,Alex Grant
2023-03-25 20:50:11.980077,loss,1,4,Alex Grant
2023-03-25 20:50:46.477537,loss,2,4,Alex Grant
2023-03-25 20:53:32.614441,win,1,4,Alex Grant
2023-03-25 20:56:20.015447,loss,1,4,Adarsh
2023-03-25 20:56:52.062863,loss,2,4,Adarsh
2023-03-25 21:02:59.933109,loss,1,4,ian
2023-03-25 22:03:59.161633,win,1,4,ian
2023-03-25 22:04:47.067970,loss,1,4,Logan
2023-03-25 22:05:57.338147,loss,1,4,Logan
2023-03-25 22:06:35.174244,loss,1,4,Logan
2023-03-25 22:07:19.765552,loss,1,4,Logan
2023-03-25 22:09:44.896180,loss,1,4,Logan
2023-03-25 22:10:33.510853,loss,1,4,jonah
2023-03-25 22:11:27.930179,loss,1,4,ian
2023-03-25 22:13:24.073310,loss,1,4,ian
2023-03-25 22:15:04.340011,win,1,4,geo
2023-03-25 22:16:21.036498,loss,1,4,Logan
2023-03-25 22:17:25.738703,loss,1,4,Logan
2023-03-25 22:18:14.677773,loss,1,4,Logan
2023-03-25 22:18:45.064921,loss,1,4,Logan
2023-03-25 22:19:09.904366,loss,1,4,Logan
2023-03-25 22:20:08.666460,loss,1,4,Logan
2023-03-25 22:20:53.035832,loss,1,4,Logan
2023-03-25 22:21:54.410897,loss,1,4,Logan
2023-03-25 22:24:11.411934,loss,1,4,Alex Grant
